JaarMaand,BenzineEuro95_1_first,BenzineEuro95_1_last,BenzineEuro95_1_min,BenzineEuro95_1_max,BenzineEuro95_1_mean,Diesel_2_first,Diesel_2_last,Diesel_2_min,Diesel_2_max,Diesel_2_mean,Datum,TotaalVerkochteWegvoertuigen_1,NieuwVerkochteWegvoertuigen_2,TweedehandsVerkochteWegvoertuigen_3
2015-01,1.501,1.46,1.458,1.503,1.4730645161290323,1.207,1.19,1.184,1.208,1.1940645161290322,2015-01-01,320045,57337,262708
2015-02,1.461,1.557,1.461,1.557,1.5201428571428572,1.192,1.291,1.192,1.291,1.2539642857142856,2015-02-01,273654,40170,233484
2015-03,1.559,1.601,1.559,1.603,1.5861612903225806,1.291,1.277,1.276,1.294,1.2866129032258065,2015-03-01,291533,36261,255272
2015-04,1.599,1.646,1.592,1.647,1.6144666666666665,1.275,1.312,1.261,1.312,1.2833666666666665,2015-04-01,278536,33416,245120
2015-05,1.645,1.639,1.634,1.648,1.6408064516129033,1.31,1.306,1.306,1.313,1.3097096774193548,2015-05-01,274390,34819,239571
2015-06,1.638,1.653,1.638,1.668,1.6549333333333331,1.304,1.295,1.293,1.31,1.3014000000000001,2015-06-01,307521,46094,261427
2015-07,1.654,1.628,1.627,1.685,1.6598064516129032,1.295,1.22,1.22,1.295,1.2645161290322582,2015-07-01,293948,41632,252316
2015-08,1.628,1.521,1.52,1.632,1.584258064516129,1.218,1.157,1.155,1.22,1.1907419354838709,2015-08-01,259779,37200,222579
2015-09,1.521,1.487,1.487,1.521,1.5107333333333335,1.165,1.182,1.165,1.201,1.1906333333333334,2015-09-01,289371,43138,246233
2015-10,1.484,1.476,1.466,1.497,1.481451612903226,1.181,1.173,1.169,1.201,1.1836129032258065,2015-10-01,307166,48610,258556
2015-11,1.477,1.493,1.477,1.533,1.5070666666666666,1.173,1.182,1.173,1.208,1.1918666666666666,2015-11-01,291887,51505,240382
2015-12,1.493,1.435,1.435,1.493,1.458516129032258,1.177,1.067,1.064,1.177,1.1156774193548387,2015-12-01,345619,92640,252979
2016-01,1.438,1.423,1.414,1.449,1.4302580645161291,1.067,1.031,1.022,1.073,1.048451612903226,2016-01-01,313775,48982,264793
2016-02,1.425,1.379,1.368,1.429,1.395,1.034,1.053,1.033,1.053,1.0412758620689655,2016-02-01,298288,35202,263086
2016-03,1.385,1.444,1.382,1.444,1.4083225806451614,1.055,1.097,1.055,1.104,1.0898709677419356,2016-03-01,317498,38434,279064
2016-04,1.449,1.489,1.447,1.489,1.4674666666666667,1.098,1.122,1.069,1.122,1.0931,2016-04-01,300932,34827,266105
2016-05,1.491,1.53,1.475,1.531,1.498193548387097,1.123,1.177,1.108,1.177,1.136516129032258,2016-05-01,287678,35702,251976
2016-06,1.528,1.515,1.513,1.529,1.5198,1.176,1.165,1.164,1.176,1.1703000000000001,2016-06-01,331882,48046,283836
2016-07,1.517,1.452,1.45,1.517,1.4765483870967744,1.168,1.102,1.101,1.168,1.1358709677419354,2016-07-01,298686,37588,261098
2016-08,1.451,1.492,1.443,1.492,1.4659032258064515,1.102,1.154,1.088,1.154,1.1215161290322582,2016-08-01,270038,33072,236966
2016-09,1.491,1.482,1.475,1.502,1.4912333333333334,1.155,1.144,1.135,1.158,1.1493666666666666,2016-09-01,293349,40949,252400
2016-10,1.484,1.529,1.484,1.533,1.5173225806451613,1.151,1.214,1.151,1.216,1.1934193548387098,2016-10-01,300624,37471,263153
2016-11,1.525,1.511,1.482,1.525,1.5012666666666667,1.211,1.2,1.166,1.211,1.1862666666666668,2016-11-01,298777,41565,257212
2016-12,1.511,1.564,1.511,1.564,1.548741935483871,1.199,1.256,1.199,1.257,1.2376129032258065,2016-12-01,305259,51019,254240
2017-01,1.563,1.563,1.561,1.573,1.5679354838709678,1.256,1.225,1.225,1.264,1.245806451612903,2017-01-01,336805,62273,274532
2017-02,1.564,1.589,1.564,1.591,1.5838214285714287,1.229,1.25,1.229,1.255,1.2468571428571429,2017-02-01,296275,39448,256827
2017-03,1.588,1.541,1.522,1.588,1.5503225806451613,1.245,1.204,1.197,1.246,1.225,2017-03-01,333639,46269,287370
