Periode,Consumentenvertrouwen,Economisch klimaat,Koopbereidheid,Grote aankopen
2007/01,20.0,37.0,9.0,8.0
2007/02,20.0,37.0,9.0,8.0
2007/03,20.0,37.0,9.0,8.0
2007/04,20.0,37.0,9.0,8.0
2007/05,18.0,32.0,9.0,7.4
2007/06,16.0,27.0,9.0,6.8
2007/07,14.0,22.0,9.0,6.2
2007/08,12.0,17.0,9.0,5.6
2007/09,10.0,12.0,9.0,5.0
2007/10,5.5,5.0,6.0,1.5
2007/11,1.0,-2.0,3.0,-2.0
2007/12,2.0,1.0,2.0,-2.0
2008/01,-0.25,-3.75,1.5,-2.5
2008/02,-2.5,-8.5,1.0,-3.0
2008/03,-4.75,-13.25,0.5,-3.5
2008/04,-7.0,-18.0,0.0,-4.0
2008/05,-10.6,-23.8,-2.0,-7.4
2008/06,-14.2,-29.6,-4.0,-10.8
2008/07,-17.8,-35.4,-6.0,-14.2
2008/08,-21.4,-41.2,-8.0,-17.6
2008/09,-25.0,-47.0,-10.0,-21.0
2008/10,-25.5,-48.5,-10.5,-23.5
2008/11,-26.0,-50.0,-11.0,-26.0
2008/12,-26.0,-53.0,-8.0,-21.0
2009/01,-26.0,-53.5,-7.75,-19.75
2009/02,-26.0,-54.0,-7.5,-18.5
2009/03,-26.0,-54.5,-7.25,-17.25
2009/04,-26.0,-55.0,-7.0,-16.0
2009/05,-23.2,-48.4,-6.6,-14.4
2009/06,-20.4,-41.8,-6.2,-12.8
2009/07,-17.6,-35.2,-5.8,-11.2
2009/08,-14.8,-28.6,-5.4,-9.6
2009/09,-12.0,-22.0,-5.0,-8.0
2009/10,-11.5,-21.5,-5.0,-7.5
2009/11,-11.0,-21.0,-5.0,-7.0
2009/12,-7.0,-10.0,-4.0,-6.0
2010/01,-7.0,-9.25,-4.5,-8.0
2010/02,-7.0,-8.5,-5.0,-10.0
2010/03,-7.0,-7.75,-5.5,-12.0
2010/04,-7.0,-7.0,-6.0,-14.0
2010/05,-7.2,-7.0,-6.6,-14.6
2010/06,-7.4,-7.0,-7.2,-15.2
2010/07,-7.6,-7.0,-7.8,-15.8
2010/08,-7.8,-7.0,-8.4,-16.4
