Periode,thuis opladen,elektrische auto,hybride elektrisch,Bijtelling (%),Consumentenvertrouwen,Economisch klimaat,Koopbereidheid,Grote aankopen,BenzineEuro95_1_first,BenzineEuro95_1_last,BenzineEuro95_1_min,BenzineEuro95_1_max,BenzineEuro95_1_mean,Diesel_2_first,Diesel_2_last,Diesel_2_min,Diesel_2_max,Diesel_2_mean,TVV_Lag1,TVV_Lag2,TVV_Lag3,TVV_Lag4,TVV_Lag5,TVV_Lag6,year,month,quarter,Totaal_verkochte_wegvoertuigen
2007-07-01,0,1,0,22,14.0,22.0,9.0,6.2,1.451,1.414,1.414,1.469,1.4439032258064517,1.057,1.064,1.057,1.069,1.063483870967742,112.0,84.0,62.0,123.0,39.0,31.0,2007,7,3,124
2007-08-01,0,1,0,22,12.0,17.0,9.0,5.6,1.415,1.421,1.399,1.421,1.4081612903225806,1.066,1.055,1.045,1.068,1.0523870967741935,124.0,112.0,84.0,62.0,123.0,39.0,2007,8,3,96
2007-09-01,0,1,0,22,10.0,12.0,9.0,5.0,1.422,1.413,1.412,1.434,1.4240333333333333,1.056,1.09,1.056,1.094,1.0811333333333333,96.0,124.0,112.0,84.0,62.0,123.0,2007,9,3,120
2007-10-01,0,1,0,22,5.5,5.0,6.0,1.5,1.413,1.452,1.395,1.452,1.417,1.09,1.128,1.079,1.128,1.0952580645161292,120.0,96.0,124.0,112.0,84.0,62.0,2007,10,4,77
2007-11-01,0,1,0,22,1.0,-2.0,3.0,-2.0,1.456,1.451,1.451,1.479,1.4683666666666668,1.133,1.188,1.133,1.206,1.1859333333333335,77.0,120.0,96.0,124.0,112.0,84.0,2007,11,4,170
2007-12-01,0,0,0,22,2.0,1.0,2.0,-2.0,1.441,1.471,1.43,1.471,1.448548387096774,1.177,1.161,1.127,1.177,1.1526451612903226,170.0,77.0,120.0,96.0,124.0,112.0,2007,12,4,79
2008-01-01,0,1,0,14,-0.25,-3.75,1.5,-2.5,1.48,1.449,1.437,1.5,1.4643548387096774,1.165,1.137,1.124,1.173,1.1459032258064514,79.0,170.0,77.0,120.0,96.0,124.0,2008,1,1,100
2008-02-01,0,1,0,14,-2.5,-8.5,1.0,-3.0,1.45,1.498,1.436,1.506,1.4743103448275865,1.138,1.202,1.126,1.205,1.1692758620689654,100.0,79.0,170.0,77.0,120.0,96.0,2008,2,1,111
2008-03-01,0,1,0,14,-4.75,-13.25,0.5,-3.5,1.492,1.491,1.454,1.492,1.4785483870967742,1.204,1.227,1.203,1.258,1.232032258064516,111.0,100.0,79.0,170.0,77.0,120.0,2008,3,1,174
2008-04-01,0,1,0,14,-7.0,-18.0,0.0,-4.0,1.493,1.544,1.49,1.547,1.5168333333333337,1.228,1.314,1.214,1.314,1.2604,174.0,111.0,100.0,79.0,170.0,77.0,2008,4,2,192
