Periode,BenzineEuro95_1_first,BenzineEuro95_1_last,BenzineEuro95_1_min,BenzineEuro95_1_max,BenzineEuro95_1_mean,Diesel_2_first,Diesel_2_last,Diesel_2_min,Diesel_2_max,Diesel_2_mean
2007/01,1.318,1.301,1.283,1.326,1.3030322580645162,0.992,0.969,0.955,0.993,0.97
2007/02,1.307,1.362,1.307,1.362,1.325357142857143,0.977,1.003,0.977,1.003,0.99
2007/03,1.365,1.416,1.361,1.416,1.3790322580645162,1.003,1.038,0.995,1.038,1.0063225806451612
2007/04,1.414,1.45,1.41,1.451,1.4265,1.036,1.026,1.019,1.039,1.0306
2007/05,1.452,1.463,1.449,1.483,1.4665161290322581,1.028,1.037,1.021,1.047,1.0323225806451612
2007/06,1.458,1.45,1.445,1.461,1.4546,1.035,1.057,1.035,1.066,1.0534333333333334
2007/07,1.451,1.414,1.414,1.469,1.4439032258064517,1.057,1.064,1.057,1.069,1.063483870967742
2007/08,1.415,1.421,1.399,1.421,1.4081612903225806,1.066,1.055,1.045,1.068,1.0523870967741937
2007/09,1.422,1.413,1.412,1.434,1.4240333333333333,1.056,1.09,1.056,1.094,1.0811333333333333
2007/10,1.413,1.452,1.395,1.452,1.417,1.09,1.128,1.079,1.128,1.0952580645161292
2007/11,1.456,1.451,1.451,1.479,1.4683666666666668,1.133,1.188,1.133,1.206,1.1859333333333335
2007/12,1.441,1.471,1.43,1.471,1.4485483870967741,1.177,1.161,1.127,1.177,1.1526451612903226
2008/01,1.48,1.449,1.437,1.5,1.4643548387096774,1.165,1.137,1.124,1.173,1.1459032258064514
2008/02,1.45,1.498,1.436,1.506,1.4743103448275863,1.138,1.202,1.126,1.205,1.1692758620689654
2008/03,1.492,1.491,1.454,1.492,1.4785483870967742,1.204,1.227,1.203,1.258,1.232032258064516
2008/04,1.493,1.544,1.49,1.547,1.5168333333333335,1.228,1.314,1.214,1.314,1.2604
2008/05,1.543,1.611,1.53,1.611,1.574774193548387,1.314,1.405,1.298,1.437,1.3724838709677418
2008/06,1.611,1.63,1.602,1.644,1.6275333333333333,1.402,1.396,1.372,1.42,1.399
2008/07,1.633,1.555,1.555,1.644,1.612967741935484,1.428,1.363,1.363,1.461,1.423451612903226
2008/08,1.556,1.58,1.546,1.583,1.557774193548387,1.363,1.33,1.302,1.363,1.3223548387096775
2008/09,1.581,1.519,1.51,1.582,1.5451333333333332,1.33,1.286,1.267,1.33,1.2918666666666667
2008/10,1.505,1.328,1.328,1.509,1.4062903225806451,1.283,1.144,1.14,1.287,1.1958387096774192
2008/11,1.316,1.239,1.22,1.316,1.269,1.138,1.057,1.056,1.151,1.1026666666666667
2008/12,1.241,1.152,1.151,1.245,1.190774193548387,1.058,0.93,0.93,1.058,0.9787096774193549
2009/01,1.161,1.265,1.161,1.265,1.2310967741935483,0.935,0.986,0.935,1.017,0.9777741935483871
2009/02,1.264,1.274,1.258,1.297,1.276,0.985,0.963,0.956,0.988,0.9732142857142857
2009/03,1.274,1.305,1.264,1.305,1.2811612903225806,0.963,0.986,0.939,0.986,0.96
2009/04,1.301,1.31,1.301,1.323,1.3124,0.982,0.959,0.959,0.985,0.9781666666666666
2009/05,1.311,1.386,1.311,1.397,1.3627741935483872,0.96,0.995,0.959,0.997,0.9848064516129033
2009/06,1.387,1.398,1.387,1.448,1.4190333333333334,0.996,1.037,0.996,1.051,1.0345666666666666
2009/07,1.4,1.398,1.354,1.401,1.3740645161290324,1.038,1.032,0.996,1.038,1.0150967741935484
2009/08,1.402,1.411,1.402,1.446,1.422,1.031,1.049,1.031,1.062,1.049741935483871
2009/09,1.409,1.344,1.344,1.409,1.3782999999999999,1.048,1.004,1.004,1.048,1.0224
2009/10,1.341,1.415,1.341,1.415,1.3801935483870968,1.004,1.067,1.004,1.068,1.042258064516129
2009/11,1.414,1.401,1.401,1.416,1.4088999999999998,1.067,1.047,1.046,1.07,1.0583666666666667
2009/12,1.399,1.418,1.384,1.418,1.3979677419354837,1.047,1.083,1.044,1.083,1.056258064516129
2010/01,1.431,1.437,1.431,1.456,1.4445806451612901,1.091,1.079,1.079,1.116,1.098032258064516
2010/02,1.439,1.475,1.439,1.476,1.4521071428571428,1.08,1.124,1.077,1.126,1.0970714285714285
2010/03,1.476,1.521,1.476,1.521,1.5057096774193548,1.125,1.156,1.125,1.156,1.139483870967742
2010/04,1.524,1.538,1.521,1.539,1.5314,1.159,1.195,1.159,1.195,1.1821666666666668
2010/05,1.537,1.505,1.497,1.548,1.5242258064516128,1.194,1.174,1.165,1.213,1.1892258064516128
2010/06,1.508,1.525,1.508,1.528,1.5202,1.176,1.197,1.176,1.206,1.1911666666666667
2010/07,1.522,1.498,1.489,1.522,1.4992258064516129,1.196,1.163,1.157,1.196,1.1682258064516131
2010/08,1.498,1.479,1.478,1.5,1.4913225806451613,1.163,1.164,1.16,1.177,1.1679032258064515
