Periode,thuis opladen,elektrische auto,hybride elektrisch,Bijtelling (%),Consumentenvertrouwen,Economisch klimaat,Koopbereidheid,Grote aankopen,BenzineEuro95_1_first,BenzineEuro95_1_last,BenzineEuro95_1_min,BenzineEuro95_1_max,BenzineEuro95_1_mean,Diesel_2_first,Diesel_2_last,Diesel_2_min,Diesel_2_max,Diesel_2_mean,Totaal_verkochte_wegvoertuigen
2007/01,0,1,0,22,20.0,37.0,9.0,8.0,1.318,1.301,1.283,1.326,1.3030322580645162,0.992,0.969,0.955,0.993,0.97,31
2007/02,0,0,0,22,20.0,37.0,9.0,8.0,1.307,1.362,1.307,1.362,1.325357142857143,0.977,1.003,0.977,1.003,0.99,39
2007/03,0,0,0,22,20.0,37.0,9.0,8.0,1.365,1.416,1.361,1.416,1.3790322580645162,1.003,1.038,0.995,1.038,1.0063225806451612,123
2007/04,0,0,0,22,20.0,37.0,9.0,8.0,1.414,1.45,1.41,1.451,1.4265,1.036,1.026,1.019,1.039,1.0306,62
2007/05,0,2,0,22,18.0,32.0,9.0,7.4,1.452,1.463,1.449,1.483,1.466516129032258,1.028,1.037,1.021,1.047,1.0323225806451612,84
2007/06,0,2,0,22,16.0,27.0,9.0,6.8,1.458,1.45,1.445,1.461,1.4546,1.035,1.057,1.035,1.066,1.0534333333333334,112
2007/07,0,1,0,22,14.0,22.0,9.0,6.2,1.451,1.414,1.414,1.469,1.4439032258064517,1.057,1.064,1.057,1.069,1.063483870967742,124
2007/08,0,1,0,22,12.0,17.0,9.0,5.6,1.415,1.421,1.399,1.421,1.4081612903225806,1.066,1.055,1.045,1.068,1.0523870967741935,96
2007/09,0,1,0,22,10.0,12.0,9.0,5.0,1.422,1.413,1.412,1.434,1.4240333333333333,1.056,1.09,1.056,1.094,1.0811333333333333,120
2007/10,0,1,0,22,5.5,5.0,6.0,1.5,1.413,1.452,1.395,1.452,1.417,1.09,1.128,1.079,1.128,1.0952580645161292,77
2007/11,0,1,0,22,1.0,-2.0,3.0,-2.0,1.456,1.451,1.451,1.479,1.4683666666666668,1.133,1.188,1.133,1.206,1.1859333333333335,170
2007/12,0,0,0,22,2.0,1.0,2.0,-2.0,1.441,1.471,1.43,1.471,1.448548387096774,1.177,1.161,1.127,1.177,1.1526451612903226,79
2008/01,0,1,0,14,-0.25,-3.75,1.5,-2.5,1.48,1.449,1.437,1.5,1.4643548387096774,1.165,1.137,1.124,1.173,1.1459032258064514,100
2008/02,0,1,0,14,-2.5,-8.5,1.0,-3.0,1.45,1.498,1.436,1.506,1.4743103448275865,1.138,1.202,1.126,1.205,1.1692758620689654,111
2008/03,0,1,0,14,-4.75,-13.25,0.5,-3.5,1.492,1.491,1.454,1.492,1.4785483870967742,1.204,1.227,1.203,1.258,1.232032258064516,174
2008/04,0,1,0,14,-7.0,-18.0,0.0,-4.0,1.493,1.544,1.49,1.547,1.5168333333333337,1.228,1.314,1.214,1.314,1.2604,192
2008/05,0,1,0,14,-10.6,-23.8,-2.0,-7.4,1.543,1.611,1.53,1.611,1.574774193548387,1.314,1.405,1.298,1.437,1.3724838709677418,287
2008/06,0,4,0,14,-14.2,-29.6,-4.0,-10.8,1.611,1.63,1.602,1.644,1.6275333333333333,1.402,1.396,1.372,1.42,1.399,364
2008/07,0,2,0,14,-17.8,-35.4,-6.0,-14.2,1.633,1.555,1.555,1.644,1.612967741935484,1.428,1.363,1.363,1.461,1.423451612903226,365
2008/08,0,2,0,14,-21.4,-41.2,-8.0,-17.6,1.556,1.58,1.546,1.583,1.557774193548387,1.363,1.33,1.302,1.363,1.3223548387096775,263
2008/09,0,3,0,14,-25.0,-47.0,-10.0,-21.0,1.581,1.519,1.51,1.582,1.5451333333333332,1.33,1.286,1.267,1.33,1.2918666666666667,298
2008/10,0,3,0,14,-25.5,-48.5,-10.5,-23.5,1.505,1.328,1.328,1.509,1.4062903225806451,1.283,1.144,1.14,1.287,1.1958387096774192,366
2008/11,0,3,0,14,-26.0,-50.0,-11.0,-26.0,1.316,1.239,1.22,1.316,1.269,1.138,1.057,1.056,1.151,1.102666666666667,250
2008/12,0,3,0,14,-26.0,-53.0,-8.0,-21.0,1.241,1.152,1.151,1.245,1.190774193548387,1.058,0.93,0.93,1.058,0.9787096774193548,202
2009/01,0,3,0,14,-26.0,-53.5,-7.75,-19.75,1.161,1.265,1.161,1.265,1.2310967741935483,0.935,0.986,0.935,1.017,0.9777741935483872,168
