Periode,Consumentenvertrouwen,Economisch klimaat,Koopbereidheid,BenzineEuro95_1_first,BenzineEuro95_1_last,BenzineEuro95_1_min,BenzineEuro95_1_max,BenzineEuro95_1_mean,Diesel_2_first,Diesel_2_last,Diesel_2_min,Diesel_2_max,Diesel_2_mean,Totaal_verkochte_wegvoertuigen
2015/01,10.0,30.0,-4.0,1.501,1.46,1.458,1.503,1.4730645161290323,1.207,1.19,1.184,1.208,1.1940645161290322,1202.0
2015/02,10.0,30.0,-4.0,1.461,1.557,1.461,1.557,1.5201428571428572,1.192,1.291,1.192,1.291,1.2539642857142856,926.0
2015/03,10.0,30.0,-4.0,1.559,1.601,1.559,1.603,1.5861612903225806,1.291,1.277,1.276,1.294,1.2866129032258065,1615.0
2015/04,10.0,30.0,-4.0,1.599,1.646,1.592,1.647,1.6144666666666665,1.275,1.312,1.261,1.312,1.2833666666666663,1362.0
2015/05,10.2,29.6,-3.2,1.645,1.639,1.634,1.648,1.6408064516129033,1.31,1.306,1.306,1.313,1.3097096774193548,1332.0
2015/06,10.4,29.2,-2.4,1.638,1.653,1.638,1.668,1.6549333333333331,1.304,1.295,1.293,1.31,1.3014,1669.0
2015/07,10.6,28.8,-1.5999999999999996,1.654,1.628,1.627,1.685,1.6598064516129032,1.295,1.22,1.22,1.295,1.2645161290322582,1447.0
2015/08,10.8,28.4,-0.7999999999999998,1.628,1.521,1.52,1.632,1.584258064516129,1.218,1.157,1.155,1.22,1.1907419354838709,1245.0
2015/09,11.0,28.0,0.0,1.521,1.487,1.487,1.521,1.5107333333333337,1.165,1.182,1.165,1.201,1.1906333333333334,1485.0
2015/10,12.5,29.5,1.5,1.484,1.476,1.466,1.497,1.481451612903226,1.181,1.173,1.169,1.201,1.1836129032258065,1217.0
2015/11,14.0,31.0,3.0,1.477,1.493,1.477,1.533,1.5070666666666666,1.173,1.182,1.173,1.208,1.1918666666666666,1009.0
2015/12,13.0,27.0,4.0,1.493,1.435,1.435,1.493,1.458516129032258,1.177,1.067,1.064,1.177,1.1156774193548389,1373.0
2016/01,11.25,23.25,3.25,1.438,1.423,1.414,1.449,1.4302580645161291,1.067,1.031,1.022,1.073,1.048451612903226,875.0
2016/02,9.5,19.5,2.5,1.425,1.379,1.368,1.429,1.395,1.034,1.053,1.033,1.053,1.0412758620689655,1133.0
2016/03,7.75,15.75,1.75,1.385,1.444,1.382,1.444,1.4083225806451614,1.055,1.097,1.055,1.104,1.0898709677419356,1786.0
2016/04,6.0,12.0,1.0,1.449,1.489,1.447,1.489,1.4674666666666667,1.098,1.122,1.069,1.122,1.0931,1524.0
2016/05,7.2,14.8,1.4,1.491,1.53,1.475,1.531,1.498193548387097,1.123,1.177,1.108,1.177,1.136516129032258,1518.0
2016/06,8.4,17.6,1.8,1.528,1.515,1.513,1.529,1.5198,1.176,1.165,1.164,1.176,1.1703,1706.0
2016/07,9.6,20.4,2.2,1.517,1.452,1.45,1.517,1.4765483870967744,1.168,1.102,1.101,1.168,1.1358709677419354,1248.0
2016/08,10.8,23.2,2.6,1.451,1.492,1.443,1.492,1.4659032258064515,1.102,1.154,1.088,1.154,1.1215161290322582,1300.0
2016/09,12.0,26.0,3.0,1.491,1.482,1.475,1.502,1.4912333333333334,1.155,1.144,1.135,1.158,1.1493666666666666,1793.0
2016/10,16.0,32.5,5.5,1.484,1.529,1.484,1.533,1.5173225806451611,1.151,1.214,1.151,1.216,1.1934193548387098,1305.0
2016/11,20.0,39.0,8.0,1.525,1.511,1.482,1.525,1.5012666666666667,1.211,1.2,1.166,1.211,1.1862666666666668,1225.0
2016/12,21.0,39.0,8.0,1.511,1.564,1.511,1.564,1.548741935483871,1.199,1.256,1.199,1.257,1.2376129032258063,1720.0
2017/01,22.25,41.75,8.5,1.563,1.563,1.561,1.573,1.5679354838709678,1.256,1.225,1.225,1.264,1.245806451612903,1303.0
2017/02,23.5,44.5,9.0,1.564,1.589,1.564,1.591,1.5838214285714287,1.229,1.25,1.229,1.255,1.2468571428571429,1320.0
2017/03,24.75,47.25,9.5,1.588,1.541,1.522,1.588,1.5503225806451613,1.245,1.204,1.197,1.246,1.225,2135.0
2017/04,26.0,50.0,10.0,1.547,1.558,1.547,1.6,1.5797333333333334,1.205,1.208,1.205,1.253,1.2333333333333334,1584.0
2017/05,25.4,48.8,10.0,1.562,1.541,1.531,1.562,1.5414516129032256,1.214,1.195,1.177,1.214,1.1906774193548388,1995.0
2017/06,24.8,47.6,10.0,1.54,1.504,1.499,1.541,1.5205,1.191,1.152,1.139,1.191,1.1615,2459.0
2017/07,24.2,46.4,10.0,1.501,1.522,1.501,1.522,1.5113225806451611,1.15,1.187,1.15,1.187,1.1695483870967742,2109.0
2017/08,23.6,45.2,10.0,1.529,1.539,1.519,1.541,1.5299354838709676,1.192,1.194,1.18,1.2,1.191258064516129,2053.0
2017/09,23.0,44.0,10.0,1.551,1.539,1.539,1.58,1.5600333333333334,1.196,1.247,1.195,1.251,1.221,2569.0
2017/10,22.5,42.5,10.0,1.538,1.557,1.522,1.557,1.532645161290323,1.246,1.25,1.223,1.251,1.2370967741935484,2026.0
2017/11,22.0,41.0,10.0,1.557,1.564,1.557,1.606,1.5846000000000002,1.253,1.259,1.253,1.275,1.2635666666666665,2435.0
