Features,Model,Forecasting window,RMSE,MAPE,MAE
(Lag Only),Linear Regression,1,573.11,1.77,526.5
(Lag Only),Linear Regression,2,335.05,1.23,328.37
(Lag Only),Linear Regression,3,58.57,0.27,55.33
(Lag Only),Linear Regression,4,64.74,0.11,50.42
(Lag Only),Linear Regression,5,44.0,0.08,42.42
(Lag Only),Linear Regression,6,48.05,0.12,41.21
(Lag Only),Linear Regression,7,60.26,0.16,57.12
(Lag Only),Linear Regression,8,114.07,0.12,88.41
(Lag Only),Linear Regression,9,155.05,0.21,149.05
(Lag Only),Linear Regression,10,92.16,0.27,65.83
(Lag Only),Linear Regression,11,170.19,0.28,137.14
(Lag Only),Linear Regression,12,172.13,0.17,142.86
(Lag Only),Linear Regression,13,127.25,0.12,99.2
(Lag Only),Linear Regression,14,241.37,0.36,239.61
(Lag Only),Linear Regression,15,235.62,0.31,209.64
(Lag Only),Linear Regression,16,102.05,0.1,97.55
(Lag Only),Linear Regression,17,212.02,0.18,135.7
(Lag Only),Linear Regression,18,251.11,0.46,247.82
(Lag Only),Linear Regression,19,293.59,0.57,290.6
(Lag Only),Linear Regression,20,106.8,0.13,105.29
(Lag Only),Linear Regression,21,89.31,0.09,85.29
(Lag Only),Linear Regression,22,489.71,0.36,437.14
(Lag Only),Linear Regression,23,641.17,0.89,591.15
(Lag Only),Linear Regression,24,447.13,0.3,395.57
(Lag Only),Linear Regression,25,232.4,0.09,141.75
(Lag Only),Linear Regression,26,476.87,0.15,283.93
(Lag Only),Linear Regression,27,221.43,0.16,204.43
(Lag Only),Linear Regression,28,205.72,0.14,199.74
(Lag Only),Linear Regression,29,62.47,0.04,61.81
(Lag Only),Linear Regression,30,136.27,0.11,115.83
(Lag Only),Linear Regression,31,299.33,0.24,272.81
(Lag Only),Linear Regression,32,89.99,0.05,78.53
(Lag Only),Linear Regression,33,183.83,0.1,151.7
(Lag Only),Linear Regression,34,129.09,0.09,120.78
(Lag Only),Linear Regression,35,258.15,0.1,185.26
(Lag Only),Linear Regression,36,359.42,0.15,301.7
(Lag Only),Linear Regression,37,375.59,0.15,342.33
(Lag Only),Linear Regression,38,989.2,0.22,747.11
(Lag Only),Linear Regression,39,262.19,0.07,184.94
(Lag Only),Linear Regression,40,479.5,0.11,369.28
(Lag Only),Linear Regression,41,364.74,0.09,354.56
(Lag Only),Linear Regression,42,1409.14,0.16,1086.55
(Lag Only),Linear Regression,43,1417.33,0.25,1192.09
(Lag Only),Linear Regression,44,1459.75,0.19,1238.81
(Lag Only),Linear Regression,45,2202.47,0.21,1771.1
(Lag Only),Linear Regression,46,8573.53,0.42,6727.31
(Lag Only),Linear Regression,47,18572.82,1.98,14781.62
(Lag Only),Linear Regression,48,20815.93,3.0,20421.07
(Lag Only),Linear Regression,49,3025.12,0.26,2895.58
(Lag Only),Linear Regression,50,12905.53,0.35,9225.99
(Lag Only),Linear Regression,51,12315.94,1.3,11518.46
