Date,Accessible chargers,charging point,electric bus,electric buses,deployment of electric vehicles,charging points,charging stations,smart charging,stock of electric vehicles,transition to electric,uptake of electric cars,accessible charging,vehicle charging,zero emission vehicle,vehicle electrification,uptake of electric vehicles,new energy vehicles,number of electric cars,plug in hybrid,plug-in hybrid electric vehicle,private charging,public charging,accessible fast chargers,publicly accessible chargers,publicly accessible charging,purchase incentives electric cars,purchase of electric vehicles,purchase price of electric vehicle,purchase incentives electric vehicles,electric car market,electric car,electric car stock,electric cars,alternative fuels,electric cars subsidies,electric driving,electric light-commercial vehicle,electric light duty vehicles,electric mobility_x,electric mobility_y,electric truck,electric trucks,electric vehicle,electric vehicle battery,battery electric vehicle,electric vehicle charging,electric vehicle deployment,electric vehicle initiative countries,electric vehicle markets,electric vehicle models,electric vehicle outlook,electric vehicle purchase price,electric vehicle sales,electric vehicle sales shares,electric vehicle supply,battery electric vehicles,equipment deployment_x,equipment deployment_y,electric vehicle supply equipment outlets,electric vehicle volumes,electric vehicle uptake,electric vehicles,electric vehicles data,electric vehicles initiative,electric vehicles subsidies,emission vehicles,battery swapping,financial incentives electric vehicles,fuel cell electric vehicle,global electric vehicle fleet,hybrid electric,hybrid electric vehicles,internal combustion engine cars,global electric vehicles data,home charging,internal combustion engine vehicles,battery electric vehicles and plug-in hybrid electric vehicles,charging network,purchase subsidies electric vehicles
2007-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
2007-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,17,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
